"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","MAC"
"Alikash B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Pubchamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Amgaon B.O","781026","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Assam Tribune S.O","781003","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Barbaka B.O","781030","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Bhogpur B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Binovanagar S.O","781018","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Birpara B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bongaon ( Boko)","Kamrup","ASSAM","MAC"
"Borni B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dhengargaon B.O","781125","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block","Kamrup","ASSAM","MAC"
"Dhirenpara B.O","781025","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Durapara B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Gopalpur B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Goreswar S.O","781366","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Guwahati G.P.O. ","781001","H.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Indrapur S.O","781032","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Khetri S.O (Kamrup)","782403","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Loharghat B.O","781120","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block ( Chainibardua","Kamrup","ASSAM","MAC"
"Mahtoli B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Malaybari B.O","782403","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Malibaripathar B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Mandira B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Mirza S.O","781125","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block","Kamrup","ASSAM","MAC"
"Naitar B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Nawkata B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Nizmanakuchi B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Noonmati S.O","781020","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Odalbakra S.O","781034","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Pacharia B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Pachia B.O","781135","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Ramgaon B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Rehabari S.O","781008","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Santipur B.O","781141","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bongaon","Kamrup","ASSAM","MAC"
"Saukuchi B.O","781034","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Siliguri B.O","781103","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Silpukhuri S.O","781003","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Soalkuchi S.O","781103","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Soalkuchi Block","Kamrup","ASSAM","MAC"
"Sonai Kamalajari B.O","782402","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Toparpathar B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","P. Chamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Tukrapara B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","P. Chamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Azara S.O","781017","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Bamunigaon S.O (Kamrup)","781141","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaon Pantan","Kamrup","ASSAM","MAC"
"Beltola S.O","781028","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Betna B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Bhauriabhita B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goroimari","Kamrup","ASSAM","MAC"
"Borakhat B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Chandrapur Mills B.O","781150","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chandrapur Block","Kamrup","ASSAM","MAC"
"Choudhurykhat B.O","781141","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaon Pantan","Kamrup","ASSAM","MAC"
"Dadara B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dihina B.O","781382","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dispur S.O","781005","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Fancy Bazar S.O","781001","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Ghoramara B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Gotanagar S.O","781011","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Guwahati Airport S.O","781015","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Guwahati University H.O","781014","H.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Hahimbazar S.O","781129","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Luki ( Boko Block)","Kamrup","ASSAM","MAC"
"I I T S.O","781039","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Jalukbari S.O","781013","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Jalukbari Lac","Kamrup","ASSAM","MAC"
"Jiakur B.O","781134","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Dakhin Sarubanswar ( Rampur)","Kamrup","ASSAM","MAC"
"Kachumara B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Mandia","Kamrup","ASSAM","MAC"
"Kharguli S.O","781004","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Kharikot B.O","781380","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Khudradimu B.O","781382","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Mahimari B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goroimari Block","Kamrup","ASSAM","MAC"
"Maranjana B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Mataikhar B.O","781120","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block(chaini Barduar","Kamrup","ASSAM","MAC"
"Nagarbera S.O","781127","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria Block","Kamrup","ASSAM","MAC"
"North Guwahati S.O","781030","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Pachim Samaria S.O","781136","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Palahartari B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Patharquerry S.O","781171","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Pathimari B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Mandia","Kamrup","ASSAM","MAC"
"Sadilapur B.O","781012","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Palasbari Circle","Kamrup","ASSAM","MAC"
"Soniadi B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Udayan Vihar S.O","781171","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Badlabazar B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Baralabari B.O","781101","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Barpathar B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","NA","Kamrup","ASSAM","MAC"
"Bezera S.O","781121","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Bihdia B.O","781381","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Bijoynagar S.O","781122","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur Block","Kamrup","ASSAM","MAC"
"Boko S.O","781123","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Borjhar B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Chhaygaon S.O","781124","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaon Pantan","Kamrup","ASSAM","MAC"
"Collegenagar B.O","781031","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Dakhala B.O","781122","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur Block","Kamrup","ASSAM","MAC"
"Damalchos B.O","781135","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Debgotanagar B.O","781011","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Dharapur B.O","781014","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Jalukbari Lac","Kamrup","ASSAM","MAC"
"Dumunichowki B.O","781121","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Hablaka B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Hajo S.O","781102","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Hatigaon Chariali S.O","781038","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Karora B.O","781381","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Maharipara S.O","781364","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Mlg Rly Hqs S.O","781011","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Nahira B.O","781132","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur","Kamrup","ASSAM","MAC"
"Nartap B.O","782402","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Pandu S.O","781012","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Pijupara B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Rangamati B.O","781122","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur","Kamrup","ASSAM","MAC"
"Ratanpur B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Rupnagar S.O","781032","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Sidilapara B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Simlatarabari B.O","781135","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Sonapur S.O","782402","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Ukiam B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Baihata S.O","781380","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur","Kamrup","ASSAM","MAC"
"Bangalipara B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Baniapara B.O","781134","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Dakhin Sarubanswar ( Rampur)","Kamrup","ASSAM","MAC"
"Bhomolahati B.O","781121","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Bihapara B.O","781365","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Dehangarigaon B.O","781012","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Palasbari Circle","Kamrup","ASSAM","MAC"
"Dekachang B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Deosunga B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Gohalkona B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Hahara B.O","782402","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Japorigog B.O","781005","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Kalardia B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Mandia","Kamrup","ASSAM","MAC"
"Kalubari B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Kuwarpur B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Loch B.O","781381","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Lower Lumpi B.O","781129","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Luki (boko Block)","Kamrup","ASSAM","MAC"
"Madhukuchi B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Mauman Ashram B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Nampara Majarkuri B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Nizdemoria B.O","782403","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Pandu Rly Colony S.O","781012","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Palashbari Circle","Kamrup","ASSAM","MAC"
"Paneri B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bongaon","Kamrup","ASSAM","MAC"
"Panitema B.O","781101","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur Block","Kamrup","ASSAM","MAC"
"Pubborka B.O","781101","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur Block","Kamrup","ASSAM","MAC"
"Puthimari B.O","781380","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Rani S.O (Kamrup)","781131","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Rani Block","Kamrup","ASSAM","MAC"
"Saledal B.O","781121","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Satgaon S.O","781027","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Singra Rajapara B.O","781135","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Soneswar S.O","781382","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur Block","Kamrup","ASSAM","MAC"
"Tengajhar B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Tepesia B.O","782402","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Tokradia B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Tupamari B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Uzanbazar S.O","781001","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Uzankuri B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Akadi B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Ambari Fatasil S.O","781025","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Amerigog S.O","781023","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Amingaon S.O","781031","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc ( North Gh Circle )","Kamrup","ASSAM","MAC"
"Amsinggaon E (S -85) B.O","781027","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Assam Sachivalaya S.O","781006","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Baghdoba B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Bargaon B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Basistha S.O","781029","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Bhalukghata B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Bhattaparagaral B.O","781017","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur Block","Kamrup","ASSAM","MAC"
"Bonda B.O","781026","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Champaparabazar B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goroimari","Kamrup","ASSAM","MAC"
"Chandrapur S.O (Kamrup)","781150","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Chandrapur Block","Kamrup","ASSAM","MAC"
"Changsari S.O","781101","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Chapania B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Chenigaon B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Greswar Block","Kamrup","ASSAM","MAC"
"Chenikuthi S.O","781003","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Dehaligaon B.O","781122","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur Block","Kamrup","ASSAM","MAC"
"Deolkuchi B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Dhepargaon B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Dobok B.O","781380","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Gandhmow B.O","781103","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Soalkuchi Block","Kamrup","ASSAM","MAC"
"Garchuk S.O","781035","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Gurmow B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Helecha B.O","781382","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Hengrabari S.O","781036","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Hinguli B.O","781380","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur Block","Kamrup","ASSAM","MAC"
"Jahirpur B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Pubchamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Karparbhitha B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Majirgaon B.O","781128","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rani Block ( Palasbari Circle)","Kamrup","ASSAM","MAC"
"Paltanbazar S.O","781008","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Panjabari S.O","781037","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Pitambarhat Bazali B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Rampur S.O (Kamrup)","781132","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur","Kamrup","ASSAM","MAC"
"Rangia R.S. S.O","781365","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Rangia S.O","781354","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Sarpara B.O","781122","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chaini ( Jharobari)","Kamrup","ASSAM","MAC"
"Simina B.O","781122","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rampur","Kamrup","ASSAM","MAC"
"Srihati B.O","781103","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Soalkuchi Block","Kamrup","ASSAM","MAC"
"Udiana B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Agchia B.O","781128","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rani Block ( Palasbari Circle)","Kamrup","ASSAM","MAC"
"Alupati B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Mandia","Kamrup","ASSAM","MAC"
"Assam Engg. Institute S.O","781003","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Bagmarachar B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Mandia","Kamrup","ASSAM","MAC"
"Baihata Chariali S.O","781381","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Bamundi B.O","781103","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Bangaon B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Bardal B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Bardangrikuchi B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Bargaon Khaliha B.O","781135","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Barpalaha B.O","781121","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Baruapathar B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Bharalumukh S.O","781009","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Bhelkarbazar B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Bholebatabari B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Boko Rajapara B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bongaon","Kamrup","ASSAM","MAC"
"Bongshor B.O","781103","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Soalkuchi Block","Kamrup","ASSAM","MAC"
"Boromboi B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Chanmaguri B.O","781380","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Dagaon B.O","781380","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Kamalpur Block","Kamrup","ASSAM","MAC"
"Dampur B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dopdar B.O","781030","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Futuri B.O","781122","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Dakhin Sarubansar ( C. Block)","Kamrup","ASSAM","MAC"
"Gerua B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Gopinathnagar S.O","781016","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
