"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Mahadevapura B.O","562123","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamagala","Bangalore Rural","KARNATAKA","STC"
"Maralakunte B.O","562111","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Mogenahalli B.O","562108","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Narayanapura B.O","562135","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanahalli","Bangalore Rural","KARNATAKA","STC"
"Neralur B.O","562138","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Sasalu B.O","561204","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Sidihoskote B.O","562106","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Anekal","Bangalore","KARNATAKA","STC"
"Solur S.O","562127","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Sondekoppa B.O","562130","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Sugganahalli B.O","561101","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Syakaladevanapura B.O","561204","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Teppadabeguru B.O","562123","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Tubugere B.O","561205","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Udukunte B.O","562127","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Yennegere B.O","562127","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Ambadahalli B.O","562138","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Aradeshanahalli B.O","562110","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanahalli","Bangalore Rural","KARNATAKA","STC"
"Arebommnahalli B.O","562111","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Bagalur S.O (Bangalore)","562149","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Banglorenorth","Bangalore","KARNATAKA","STC"
"Bettahalsur S.O","562157","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bangalore North","Bangalore","KARNATAKA","STC"
"Channapatna H.O","562160","H.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Dasanapaura B.O","562123","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Devanahalli S.O","562110","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanahalli","Bangalore Rural","KARNATAKA","STC"
"Doddamudigere B.O","562131","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Gowdagere B.O","562108","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Hoskote Indl. Area B.O","562114","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Hulikal B.O","561101","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Hunasamaranahalli B.O","562157","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg North","Bangalore","KARNATAKA","STC"
"Hunkunda B.O","562119","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Kabbal B.O","562126","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Kambalu B.O","562111","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
