"Officename","pincode","officeType","Deliverystatus","divisionname","Region name","Circlename","Taluk","Districtname","State name","pricing_code"
"Daultabad B.O","122006","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Dharson B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dharson","Mahendragarh","HARYANA","NCR"
"Dhor Kalan B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dhor Kalan","Mahendragarh","HARYANA","NCR"
"DLF Ph-II S.O","122008","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dlf Ph-ii","Gurgaon","HARYANA","NCR"
"DLF QE S.O","122002","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dlf Qe","Gurgaon","HARYANA","NCR"
"Dochana B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dochana","Mahendragarh","HARYANA","NCR"
"Doha B.O","122104","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Dungerwas B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Garhi Bolni B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Garhi Bolni","Rewari","HARYANA","NCR"
"Ghamroj B.O","122102","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Gokalpur B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Gokalpur","Mahendragarh","HARYANA","NCR"
"Gugodh B.O","123302","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Gugodh","Rewari","HARYANA","NCR"
"Hirwari B.O","122104","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Indir Mewat B.O","122103","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Industrial Complex Dundahera S.O","122016","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Industrial Complex Dundahera","Gurgaon","HARYANA","NCR"
"Jharoda B.O","123303","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Jharoda","Mahendragarh","HARYANA","NCR"
"Jharsa B.O","122003","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Jhook B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Jhook","Mahendragarh","HARYANA","NCR"
"Kannaura B.O","123035","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kannaura","Rewari","HARYANA","NCR"
"Karola B.O","122504","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Karota B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Karota","Mahendragarh","HARYANA","NCR"
"Khor B.O","122414","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Khudana B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Khudana","Mahendragarh","HARYANA","NCR"
"Kothal Khurd B.O","123028","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kothal Khurd","Mahendragarh","HARYANA","NCR"
"Kultazpur B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kultazpur","Mahendragarh","HARYANA","NCR"
"Lawan B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Lawan","Mahendragarh","HARYANA","NCR"
"Lokra B.O","122414","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Mohamadpur Ahir B.O","122105","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Mohanpur B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Mohanpur","Rewari","HARYANA","NCR"
"Nai B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Nangal Jamalpur B.O","123102","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nangal Jamalpur","Rewari","HARYANA","NCR"
"Palri Panihara B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Palri Panihara","Mahendragarh","HARYANA","NCR"
"Pathreri B.O","122413","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Rathiwas B.O","122105","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Rattanthal B.O","123301","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rattanthal","Rewari","HARYANA","NCR"
"Rethath B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Rewari S.O","123401","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rewari","Rewari","HARYANA","NCR"
"Asiaki Gorawas B.O","123035","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rewari","Rewari","HARYANA","NCR"
"B B Ashram B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","B B Ashram","Rewari","HARYANA","NCR"
"Badshahpur S.O","122101","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Badshahpur","Gurgaon","HARYANA","NCR"
"Bithwana B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bithwana","Rewari","HARYANA","NCR"
"Budhpur B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Budhpur","Rewari","HARYANA","NCR"
"Budhwal B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Budhwa","Mahendragarh","HARYANA","NCR"
"Chakkarpur B.O","122002","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Dholera B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dholera","Mahendragarh","HARYANA","NCR"
"Farrukh Nagar S.O","122506","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Farrukh Nagar","Gurgaon","HARYANA","NCR"
"Ganiar B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Ganiar","Mahendragarh","HARYANA","NCR"
"IMT Manesar S.O","122052","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Manesar","Gurgaon","HARYANA","NCR"
"Jaitpur B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Kasan B.O","122051","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Krishan Nagar B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Krishan Nagar","Mahendragarh","HARYANA","NCR"
"Maheshwari B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Maheshwari","Rewari","HARYANA","NCR"
"Manesar B.O","122051","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Maruthi Kunj B.O","122102","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Nagina S.O (Gurgaon)","122108","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nagina","Gurgaon","HARYANA","NCR"
"Naichana B.O","123501","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Naichana","Rewari","HARYANA","NCR"
"Nathupur B.O","122002","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Palam Road S.O","122015","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Palam Road","Gurgaon","HARYANA","NCR"
"Palam Vihar S.O (Gurgaon)","122017","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Palam Vihar","Gurgaon","HARYANA","NCR"
"Palhawas S.O","123035","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Palhawas","Rewari","HARYANA","NCR"
"Rithoj B.O","122102","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Rojka Meo B.O","122103","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Saharanwas B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Saharanwas","Rewari","HARYANA","NCR"
"Sangwari B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Sangwari","Rewari","HARYANA","NCR"
"Sehma B.O","123028","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Sehma","Mahendragarh","HARYANA","NCR"
"Sihri Singhalheri B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sundh B.O","122105","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Suthana B.O","123501","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Suthana","Rewari","HARYANA","NCR"
"Akbarpur B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Akberpur","Mahendragarh","HARYANA","NCR"
"Akhera B.O","122107","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Asalwas B.O","123501","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bawal","Mahendragarh","HARYANA","NCR"
"Bagahod B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Narnaul","Mahendragarh","HARYANA","NCR"
"Bewan B.O","122104","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Bhorakalan S.O","122413","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bhorakalan","Gurgaon","HARYANA","NCR"
"Dahina S.O","123411","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dahina","Mahendragarh","HARYANA","NCR"
"Dhanaunda B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dhanaunda","Mahendragarh","HARYANA","NCR"
"Dharuhera S.O","123106","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dharuhera","Rewari","HARYANA","NCR"
"Dulana B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dulana","Mahendragarh","HARYANA","NCR"
"Dulawat B.O","122105","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Fazilpur B.O","122101","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Galleria DLF-IV S.O","122009","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Galleria Dlf-iv","Gurgaon","HARYANA","NCR"
"Garhi Harsaru S.O","122505","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Garhi Harsaru","Gurgaon","HARYANA","NCR"
"Guriani S.O","123301","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Guriani","Rewari","HARYANA","NCR"
"Jagat B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Jamalpur B.O","122503","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Jarwa B.O","123024","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Jarwa","Mahendragarh","HARYANA","NCR"
"Kamania B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kamania","Mahendragarh","HARYANA","NCR"
"Kanina S.O","123027","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kanina","Mahendragarh","HARYANA","NCR"
"Khandsa B.O","122004","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Kheri B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kheri","Mahendragarh","HARYANA","NCR"
"Kolana B.O","123102","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kolana","Rewari","HARYANA","NCR"
"Kund S.O","123102","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kund","Rewari","HARYANA","NCR"
"Lakhnaula B.O","122004","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Lilodh B.O","123303","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Lilodh","Mahendragarh","HARYANA","NCR"
"Madhana Kalan B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Madhana Kalan","Mahendragarh","HARYANA","NCR"
"Majra Sheoraj B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Majra Sheoraj  majra Sheoraj","Rewari","HARYANA","NCR"
"Musepur B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Musepur","Rewari","HARYANA","NCR"
"Nangal Katha B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nagal Katha","Mahendragarh","HARYANA","NCR"
"Nangal Shahbazpur B.O","123501","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bawal","Mahendragarh","HARYANA","NCR"
"Nawan B.O","123024","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nawan","Mahendragarh","HARYANA","NCR"
"Pataudi S.O","122503","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Pataudi","Gurgaon","HARYANA","NCR"
"Patherwa B.O","123024","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Patherwa","Mahendragarh","HARYANA","NCR"
"Punsika B.O","123101","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Punsika","Rewari","HARYANA","NCR"
"Rambas B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rambas","Mahendragarh","HARYANA","NCR"
"Ramgarh B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Rasoolpur B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rasoolpur","Mahendragarh","HARYANA","NCR"
"Rewasan B.O","122103","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sarai Bahadur B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Narnaul","Mahendragarh","HARYANA","NCR"
"Sarhaul B.O","122015","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sihore B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Sihore","Mahendragarh","HARYANA","NCR"
"Tapkan B.O","122107","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Tatarpur B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Agon B.O","122104","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Basai B.O","122006","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Bawal S.O","123501","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bawal","Mahendragarh","HARYANA","NCR"
"Bawwa B.O","123303","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bawwa","Mahendragarh","HARYANA","NCR"
"Bhakli B.O","123302","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bhakli","Rewari","HARYANA","NCR"
"Bhatsana B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bhatsana","Rewari","HARYANA","NCR"
"Bhocharia B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Narnaul","Mahendragarh","HARYANA","NCR"
"Bocharia B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Mandi Ateli","Rewari","HARYANA","NCR"
"Budarpur B.O","122108","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Buroli B.O","123411","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Buroli","Rewari","HARYANA","NCR"
"Chapera B.O","122103","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Chillro B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Chillro","Mahendragarh","HARYANA","NCR"
"Chitrauli B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Chitrauli","Mahendragarh","HARYANA","NCR"
"Daroli B.O","123411","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Daroli","Rewari","HARYANA","NCR"
"Dhana B.O","123034","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dhana","Rewari","HARYANA","NCR"
"Dharan S.O","123412","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dharan","Mahendragarh","HARYANA","NCR"
"Dulat Jat B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dulat Jat","Mahendragarh","HARYANA","NCR"
"Dunderwas B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dunderwas","Rewari","HARYANA","NCR"
"Golwa B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Golwa","Mahendragarh","HARYANA","NCR"
"Gurgaon South City II S.O","122018","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Hasanpur B.O","122105","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Industrial Estate S.O (Gurgaon)","122007","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Industrial Estate","Gurgaon","HARYANA","NCR"
"Jhabuwa B.O","123501","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Jhabuwa","Rewari","HARYANA","NCR"
"Karawara B.O","123035","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Karawara","Rewari","HARYANA","NCR"
"Koriawas B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Koriawas","Mahendragarh","HARYANA","NCR"
"Kotia B.O","123027","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kotia","Mahendragarh","HARYANA","NCR"
"Mandikhera B.O","122108","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Masani B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Masani","Rewari","HARYANA","NCR"
"Mastapur B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Mastapur","Rewari","HARYANA","NCR"
"Moolthan B.O","122108","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Nand Rampurbass B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nand Rampurbas","Rewari","HARYANA","NCR"
"Nangal Sirohi S.O","123028","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nangal Sirohi","Mahendragarh","HARYANA","NCR"
"Narhera B.O","122503","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Pachgaon B.O","122413","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Patil R.S. B.O","122506","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Rampuri B.O","123411","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rampuri","Rewari","HARYANA","NCR"
"Sakras B.O","122108","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sareli B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Sareli","Mahendragarh","HARYANA","NCR"
"Sidhrawali B.O","122413","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Singar B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Tankri B.O","123412","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Tankri","Rewari","HARYANA","NCR"
"Thanwas B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Thanwas","Mahendragarh","HARYANA","NCR"
"Ujina B.O","122107","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Azamabad Mukhota B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Azamabad Mukhota","Mahendragarh","HARYANA","NCR"
"Bachhod B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Narnaul","Mahendragarh","HARYANA","NCR"
"Badli B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Bashirpur B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bashirpur","Mahendragarh","HARYANA","NCR"
"Baspadamka B.O","122503","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Bewal B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bewal","Mahendragarh","HARYANA","NCR"
"Bhangrola B.O","122505","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Bhungerka B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bhaungerka","Mahendragarh","HARYANA","NCR"
"Carterpuri B.O","122017","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Dalanwas B.O","123024","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dalanwas","Mahendragarh","HARYANA","NCR"
"Damdama B.O","122102","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Dehlawas Gulabpur B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dehlawas Gulabpur","Rewari","HARYANA","NCR"
"Gurgaon Village B.O","122006","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Hamidpur B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Hamidpur","Mahendragarh","HARYANA","NCR"
"Janaula B.O","122503","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Jant B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Jatusa R.S. B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Jatusana Rs","Rewari","HARYANA","NCR"
"Jhamuwas B.O","122105","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Tauru","Gurgaon","HARYANA","NCR"
"Kanwi B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kanwi","Mahendragarh","HARYANA","NCR"
"Khalilpur S.O","122502","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Khalilpur","Gurgaon","HARYANA","NCR"
"Khera Khurampur B.O","122506","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Kurawata B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Kurawata","Mahendragarh","HARYANA","NCR"
"Kurthala B.O","122107","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Lookhi B.O","123303","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Lookhi","Mahendragarh","HARYANA","NCR"
"Mandi B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Mandi","Mahendragarh","HARYANA","NCR"
"Mirpur B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Nangal B.O","123501","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nangal","Rewari","HARYANA","NCR"
"Niamatpur B.O","123023","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Niamatpur","Mahendragarh","HARYANA","NCR"
"Nimoth B.O","123411","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Nimoth","Rewari","HARYANA","NCR"
"Pingwan B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Punhana S.O","122508","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Punhana","Gurgaon","HARYANA","NCR"
"Raliawas B.O","123106","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Raliawas","Rewari","HARYANA","NCR"
"Sewari B.O","122506","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Shahchokha B.O","122508","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sherpur B.O","122502","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sikanderpur B.O","122004","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Sudaka B.O","122107","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Syed Shahpur B.O","122414","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Unchamajra B.O","122503","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Wazipur B.O","122505","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Wazirabad B.O","122003","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Air Force S.O","122005","S.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Air Force","Gurgaon","HARYANA","NCR"
"Badhrana B.O","123412","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Rewari","Rewari","HARYANA","NCR"
"Bairawas B.O","123028","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bairawas","Mahendragarh","HARYANA","NCR"
"Bhadas B.O","122108","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Bhojawas B.O","123034","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bhojawas","Rewari","HARYANA","NCR"
"Bilaspur Khurd B.O","122413","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Boria Kamalpur B.O","123401","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Boria Kamalpur","Rewari","HARYANA","NCR"
"Buddin B.O","123029","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Buddin","Mahendragarh","HARYANA","NCR"
"Budhera B.O","122505","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","NA","Gurgaon","HARYANA","NCR"
"Burthala B.O","123302","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Bhrthala","Rewari","HARYANA","NCR"
"Dhanota B.O","123001","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dhanota","Mahendragarh","HARYANA","NCR"
"Dongra Ahir B.O","123021","B.O","Delivery","Gurgaon","Ambala  HQ","Haryana","Dongra Ahir","Mahendragarh","HARYANA","NCR"
